gene,biological_process,molecular_function,systematic_name,a_number,nutrient,growth_rate,expression
GOS1,vesicle fusion*,v-SNARE activity,YHL031C,1085784,G,0.15,0.17
COQ1,ubiquinone metabolism,trans-hexaprenyltranstransferase activity,YBR003W,1086078,G,0.15,0.04
AFG1,biological process unknown,ATPase activity,YEL052W,1084170,G,0.15,0.01
,biological process unknown,molecular function unknown,YIL023C,1081458,G,0.15,0.07
ZWF1,pentose-phosphate shunt,glucose-6-phosphate 1-dehydrogenase activity,YNL241C,1084442,G,0.15,-0.12
HSP150,cell wall organization and biogenesis,structural constituent of cell wall,YJL159W,1085596,G,0.15,0.48
TIR2,response to stress,molecular function unknown,YOR010C,1084078,G,0.15,0.58
BCY1,response to stress*,cAMP-dependent protein kinase inhibitor activity,YIL033C,1086462,G,0.15,0.34
CCT6,protein folding*,unfolded protein binding,YDR188W,1081669,G,0.15,0.24
TIP41,signal transduction,molecular function unknown,YPR040W,1082034,G,0.15,0.32
PFS2,mRNA polyadenylylation*,RNA binding,YNL317W,1086177,G,0.15,0.05
PTI1,mRNA polyadenylylation*,RNA binding,YGR156W,1084296,G,0.15,0.11
ACE2,G1-specific transcription in mitotic cell cycle,transcriptional activator activity,YLR131C,1082052,G,0.15,-0.17
,,,YLR317W,1084555,G,0.15,-0.3
NKP2,biological process unknown,molecular function unknown,YLR315W,1081576,G,0.15,-0.15
,response to salt stress*,purine nucleotide binding*,YKL088W,1083027,G,0.15,0.12
,transport,transporter activity,YPR011C,1085894,G,0.15,0.34
CYM1,proteolysis and peptidolysis*,metalloendopeptidase activity,YDR430C,1082264,G,0.15,0.16
ABZ1,para-aminobenzoic acid metabolism,4-amino-4-deoxychorismate synthase activity,YNR033W,1083378,G,0.15,0.13
LEO1,transcription from RNA polymerase II promoter*,RNA polymerase II transcription elongation factor activity,YOR123C,1082446,G,0.15,0.39
,biological process unknown,molecular function unknown,YJL123C,1083035,G,0.15,0.41
BSP1,actin cytoskeleton organization and biogenesis*,"protein binding, bridging",YPR171W,1085167,G,0.15,0.31
SNF1,protein amino acid phosphorylation*,AMP-activated protein kinase activity,YDR477W,1085173,G,0.15,0.09
GLK1,glucose metabolism*,glucokinase activity,YCL040W,1085797,G,0.15,0.69
HIF1,chromatin silencing at telomere,molecular function unknown,YLL022C,1086559,G,0.15,0
ROX1,negative regulation of transcription from RNA polymerase II promoter,specific transcriptional repressor activity*,YPR065W,1086122,G,0.15,0.09
HAP5,transcription*,DNA binding*,YOR358W,1086661,G,0.15,-0.44
HOT1,regulation of transcription from RNA polymerase II promoter*,specific RNA polymerase II transcription factor activity,YMR172W,1086011,G,0.15,0
BIK1,mitotic spindle organization and biogenesis in nucleus*,microtubule binding,YCL029C,1084327,G,0.15,0.18
MED2,transcription from RNA polymerase II promoter,RNA polymerase II transcription mediator activity,YDL005C,1081905,G,0.15,0.21
ENT2,endocytosis*,clathrin binding,YLR206W,1084115,G,0.15,0.05
,biological process unknown,molecular function unknown,YHR009C,1084215,G,0.15,0.13
,biological process unknown,molecular function unknown,YBR108W,1085756,G,0.15,0.08
CEF1,"nuclear mRNA splicing, via spliceosome","RNA splicing factor activity, transesterification mechanism",YMR213W,1085700,G,0.15,0.19
SHP1,sporulation (sensu Fungi)*,molecular function unknown,YBL058W,1082990,G,0.15,-0.02
CLA4,protein amino acid phosphorylation*,protein serine/threonine kinase activity,YNL298W,1083156,G,0.15,-0.22
ARG80,positive regulation of transcription from RNA polymerase II promoter*,DNA binding*,YMR042W,1086911,G,0.15,-0.3
OPI1,positive regulation of transcription from RNA polymerase II promoter*,transcription corepressor activity,YHL020C,1084884,G,0.15,0.43
MYO5,cell wall organization and biogenesis*,microfilament motor activity,YMR109W,1083203,G,0.15,0.35
,biological process unknown,molecular function unknown,YHR199C,1083111,G,0.15,0.14
RAM2,peptide pheromone maturation*,protein farnesyltransferase activity*,YKL019W,1083183,G,0.15,0.06
SNT1,histone deacetylation*,NAD-dependent histone deacetylase activity*,YCR033W,1083456,G,0.15,0.07
TAF5,transcription initiation from RNA polymerase II promoter*,general RNA polymerase II transcription factor activity,YBR198C,1085691,G,0.15,0.12
STB1,G1/S transition of mitotic cell cycle,transcriptional activator activity,YNL309W,1080716,G,0.15,-0.11
MSB1,establishment of cell polarity (sensu Fungi),molecular function unknown,YOR188W,1081035,G,0.15,-0.13
RMD7,cell wall organization and biogenesis,molecular function unknown,YER083C,1084831,G,0.15,-0.12
SAN1,response to stress*,ubiquitin-protein ligase activity,YDR143C,1085407,G,0.15,-0.19
FCP1,transcription*,phosphoprotein phosphatase activity*,YMR277W,1085496,G,0.15,-0.09
VHS2,G1/S transition of mitotic cell cycle,molecular function unknown,YIL135C,1085625,G,0.15,-0.2
DMA1,mitotic spindle checkpoint*,molecular function unknown,YHR115C,1085293,G,0.15,0.02
CAF120,regulation of transcription from RNA polymerase II promoter,molecular function unknown,YNL278W,1082400,G,0.15,0.18
HAC1,regulation of transcription from RNA polymerase II promoter*,transcription factor activity*,YFL031W,1080737,G,0.15,-0.15
,biological process unknown,molecular function unknown,YHR032W,1086441,G,0.15,-0.25
HST2,chromatin silencing at telomere,NAD-dependent histone deacetylase activity,YPL015C,1086604,G,0.15,-0.33
,biological process unknown,molecular function unknown,YMR148W,1080796,G,0.15,-0.11
APT2,biological process unknown,molecular function unknown*,YDR441C,1085011,G,0.15,-0.33
,biological process unknown,molecular function unknown,YIL087C,1082007,G,0.15,-0.04
SNA4,biological process unknown,molecular function unknown,YDL123W,1080857,G,0.15,0.28
,biological process unknown,molecular function unknown,YER004W,1084684,G,0.15,0.45
LSC1,tricarboxylic acid cycle*,succinate-CoA ligase (ADP-forming) activity,YOR142W,1081481,G,0.15,0.95
TIP1,cell wall organization and biogenesis,structural constituent of cell wall*,YBR067C,1081274,G,0.15,1.37
,biological process unknown,molecular function unknown,YJR100C,1081090,G,0.15,0.1
,biological process unknown,molecular function unknown,YOL053W,1083614,G,0.15,0.2
,biological process unknown,molecular function unknown,YGL230C,1085364,G,0.15,0.62
MAL13,"regulation of transcription, DNA-dependent*",transcription factor activity,YGR288W,1085637,G,0.15,0.68
LEU4,leucine biosynthesis,2-isopropylmalate synthase activity,YNL104C,1086161,G,0.15,1.38
CAR2,arginine catabolism,ornithine-oxo-acid transaminase activity,YLR438W,1083721,G,0.15,0.79
,biological process unknown,sterol transporter activity,YMR034C,1083910,G,0.15,0.31
,biological process unknown,molecular function unknown,YER066W,1081242,G,0.15,0.61
RCR1,cell wall organization and biogenesis,molecular function unknown,YBR005W,1082365,G,0.15,1.3
BIO5,biotin biosynthesis*,permease activity,YNR056C,1085085,G,0.15,1.77
BIO4,biotin biosynthesis,dethiobiotin synthase activity,YNR057C,1085239,G,0.15,0.66
ISU1,iron ion homeostasis*,protein binding,YPL135W,1083554,G,0.15,0.94
,biological process unknown,molecular function unknown,YER185W,1082967,G,0.15,1.73
SPG5,biological process unknown,molecular function unknown,YMR191W,1086597,G,0.15,1.06
ZTA1,biological process unknown,molecular function unknown,YBR046C,1084664,G,0.15,1.38
SPS19,sporulation (sensu Fungi)*,"2,4-dienoyl-CoA reductase (NADPH) activity",YNL202W,1084433,G,0.15,2.48
FOX2,fatty acid beta-oxidation,3-hydroxyacyl-CoA dehydrogenase activity*,YKR009C,1082997,G,0.15,2.21
YAT1,alcohol metabolism*,carnitine O-acetyltransferase activity,YAR035W,1085028,G,0.15,3.51
YAT2,alcohol metabolism*,carnitine O-acetyltransferase activity,YER024W,1084100,G,0.15,3.72
BIO3,biotin biosynthesis,adenosylmethionine-8-amino-7-oxononanoate transaminase activity,YNR058W,1080950,G,0.15,2.14
CIT3,tricarboxylic acid cycle*,citrate (Si)-synthase activity,YPR001W,1081423,G,0.15,3.43
ACS1,acetyl-CoA biosynthesis*,acetate-CoA ligase activity,YAL054C,1083184,G,0.15,3.27
CAT2,carnitine metabolism,carnitine O-acetyltransferase activity,YML042W,1082487,G,0.15,3.1
CRC1,fatty acid metabolism,carnitine:acyl carnitine antiporter activity,YOR100C,1086807,G,0.15,3.04
ADH2,fermentation*,alcohol dehydrogenase activity,YMR303C,1082278,G,0.15,5.64
AAT2,nitrogen compound metabolism*,aspartate transaminase activity,YLR027C,1085969,G,0.15,0.81
,biological process unknown,molecular function unknown,YGR067C,1085923,G,0.15,3.14
PCK1,gluconeogenesis,phosphoenolpyruvate carboxykinase (ATP) activity,YKR097W,1082571,G,0.15,3.52
CTA1,oxygen and reactive oxygen species metabolism,catalase activity,YDR256C,1081862,G,0.15,4.46
ICL1,glyoxylate cycle,isocitrate lyase activity,YER065C,1081617,G,0.15,5.31
FBP1,gluconeogenesis,fructose-bisphosphatase activity,YLR377C,1086804,G,0.15,4.47
IDP2,glutamate biosynthesis*,isocitrate dehydrogenase (NADP+) activity,YLR174W,1083584,G,0.15,3.94
SFC1,fumarate transport*,succinate:fumarate antiporter activity,YJR095W,1085959,G,0.15,5.04
ECM13,cell wall organization and biogenesis,molecular function unknown,YBL043W,1082501,G,0.15,2.29
PEX21,protein-peroxisome targeting,protein binding*,YGR239C,1083598,G,0.15,1.09
AAD14,aldehyde metabolism,aryl-alcohol dehydrogenase activity,YNL331C,1083687,G,0.15,0.68
,biological process unknown,molecular function unknown,YGR243W,1081777,G,0.15,2.17
IDH1,tricarboxylic acid cycle*,isocitrate dehydrogenase (NAD+) activity,YNL037C,1083434,G,0.15,1.22
IDH2,tricarboxylic acid cycle*,isocitrate dehydrogenase (NAD+) activity,YOR136W,1085780,G,0.15,0.7
PCD1,biological process unknown,pyrophosphatase activity,YLR151C,1085124,G,0.15,0.36
,biological process unknown,molecular function unknown,YMR115W,1083048,G,0.15,0.17
MGM1,mitochondrion organization and biogenesis*,GTPase activity,YOR211C,1083286,G,0.15,0.46
MTF2,protein biosynthesis*,RNA binding,YDL044C,1080691,G,0.15,0.08
MDM32,mitochondrion organization and biogenesis*,molecular function unknown,YOR147W,1086211,G,0.15,0.25
RPT4,ubiquitin-dependent protein catabolism,ATPase activity*,YOR259C,1086036,G,0.15,0.21
SSQ1,DNA-dependent DNA replication*,unfolded protein binding,YLR369W,1085633,G,0.15,0.33
,biological process unknown,molecular function unknown,YER080W,1081349,G,0.15,0.63
,biological process unknown,molecular function unknown,YOR228C,1083746,G,0.15,0.49
,,,YML089C,1085799,G,0.15,1.23
MEF2,translational elongation,translation elongation factor activity,YJL102W,1086849,G,0.15,0.56
SIP2,protein amino acid phosphorylation*,AMP-activated protein kinase activity,YGL208W,1081268,G,0.15,0.97
OCT1,iron ion homeostasis*,metallopeptidase activity*,YKL134C,1083826,G,0.15,0.4
TES1,fatty acid oxidation,acyl-CoA thioesterase activity,YJR019C,1082727,G,0.15,1.08
GSY1,glycogen metabolism,glycogen (starch) synthase activity,YFR015C,1084045,G,0.15,1.33
,biological process unknown,molecular function unknown,YDL233W,1084346,G,0.15,0.83
PDH1,propionate metabolism,molecular function unknown,YPR002W,1084481,G,0.15,2.73
,biological process unknown,molecular function unknown,YPL201C,1086058,G,0.15,3.35
,biological process unknown,"hydrolase activity, hydrolyzing O-glycosyl compounds",YJL216C,1082593,G,0.15,0.94
GUT1,glycerol metabolism,glycerol kinase activity,YHL032C,1083896,G,0.15,2
PCS60,biological process unknown,AMP binding,YBR222C,1080920,G,0.15,0.26
KIN82,protein amino acid phosphorylation*,protein kinase activity,YCR091W,1081691,G,0.15,0.58
MTG2,protein biosynthesis,GTPase activity*,YHR168W,1084953,G,0.15,0.13
YTA12,protein complex assembly*,ATPase activity*,YMR089C,1085665,G,0.15,0.15
PIM1,proteolysis and peptidolysis*,ATP-dependent peptidase activity,YBL022C,1082290,G,0.15,0.4
MTH1,signal transduction*,molecular function unknown,YDR277C,1084462,G,0.15,0.04
MAL31,alpha-glucoside transport,alpha-glucoside:hydrogen symporter activity,YBR298C,1085908,G,0.15,0.2
ACH1,acetate metabolism*,acetyl-CoA hydrolase activity,YBL015W,1086338,G,0.15,2.01
MDH1,tricarboxylic acid cycle*,L-malate dehydrogenase activity,YKL085W,1086544,G,0.15,0.88
CIT1,tricarboxylic acid cycle*,citrate (Si)-synthase activity,YNR001C,1085956,G,0.15,1.17
ADR1,transcription*,transcription factor activity,YDR216W,1083895,G,0.15,1.08
CSR2,cell wall organization and biogenesis*,molecular function unknown,YPR030W,1086861,G,0.15,1.28
CAT8,positive regulation of transcription from RNA polymerase II promoter*,specific RNA polymerase II transcription factor activity,YMR280C,1080682,G,0.15,1.53
GUT2,carbohydrate metabolism*,glycerol-3-phosphate dehydrogenase activity,YIL155C,1084864,G,0.15,2.31
POX1,fatty acid beta-oxidation,acyl-CoA oxidase activity,YGL205W,1086172,G,0.15,2.39
NDE1,ethanol fermentation*,NADH dehydrogenase activity,YMR145C,1084029,G,0.15,1
ALD4,ethanol metabolism,aldehyde dehydrogenase (NAD) activity,YOR374W,1086104,G,0.15,3.3
,metabolism,oxidoreductase activity,YPL113C,1082522,G,0.15,1.16
FAA2,lipid metabolism*,long-chain-fatty-acid-CoA ligase activity,YER015W,1080729,G,0.15,1.62
,biological process unknown,molecular function unknown,YBR230C,1085166,G,0.15,1.83
FUM1,tricarboxylic acid cycle*,fumarate hydratase activity,YPL262W,1084220,G,0.15,1.39
RIB1,riboflavin biosynthesis,cyclohydrolase activity,YBL033C,1083460,G,0.15,0.64
,biological process unknown,molecular function unknown,YGL146C,1082315,G,0.15,0.71
JEN1,lactate transport,lactate transporter activity,YKL217W,1080916,G,0.15,3.15
SNF3,signal transduction*,receptor activity*,YDL194W,1084549,G,0.15,0.5
,biological process unknown,molecular function unknown,YEL057C,1081174,G,0.15,0.96
KNH1,"beta-1,6 glucan biosynthesis",molecular function unknown,YDL049C,1082015,G,0.15,0.89
AGX1,glycine biosynthesis,alanine-glyoxylate transaminase activity,YFL030W,1084273,G,0.15,1.52
SDH4,tricarboxylic acid cycle*,succinate dehydrogenase (ubiquinone) activity,YDR178W,1082220,G,0.15,1.03
SDH1,tricarboxylic acid cycle*,succinate dehydrogenase (ubiquinone) activity,YKL148C,1081970,G,0.15,1.53
COR1,aerobic respiration,ubiquinol-cytochrome-c reductase activity,YBL045C,1084233,G,0.15,0.85
KGD2,tricarboxylic acid cycle*,dihydrolipoyllysine-residue succinyltransferase activity,YDR148C,1082232,G,0.15,0.87
KGD1,tricarboxylic acid cycle*,oxoglutarate dehydrogenase (succinyl-transferring) activity,YIL125W,1082616,G,0.15,0.9
MCR1,response to oxidative stress*,cytochrome-b5 reductase activity,YKL150W,1084244,G,0.15,0.79
QCR6,aerobic respiration*,ubiquinol-cytochrome-c reductase activity,YFR033C,1083147,G,0.15,0.73
,biological process unknown,molecular function unknown,YLR327C,1081648,G,0.15,1.21
JID1,biological process unknown,molecular function unknown,YPR061C,1085941,G,0.15,0.1
ISF1,aerobic respiration,molecular function unknown,YMR081C,1086434,G,0.15,0.91
CBP4,protein complex assembly,molecular function unknown,YGR174C,1085347,G,0.15,0.05
RPO41,mitochondrial genome maintenance*,DNA-directed RNA polymerase activity,YFL036W,1084659,G,0.15,0.08
,biological process unknown,molecular function unknown,YER182W,1084821,G,0.15,0.17
SDH2,tricarboxylic acid cycle*,succinate dehydrogenase (ubiquinone) activity,YLL041C,1081164,G,0.15,0.66
ATP3,ATP synthesis coupled proton transport,"hydrogen-transporting ATP synthase activity, rotational mechanism",YBR039W,1085643,G,0.15,0.57
POR1,aerobic respiration*,voltage-gated ion-selective channel activity,YNL055C,1082035,G,0.15,0.73
,biological process unknown,molecular function unknown,YLR392C,1083225,G,0.15,0.53
YCP4,biological process unknown,electron transporter activity,YCR004C,1085316,G,0.15,0.8
ESBP6,transport,transporter activity*,YNL125C,1084655,G,0.15,0.25
,biological process unknown,molecular function unknown,YGR110W,1085296,G,0.15,1.18
NUM1,"nuclear migration, microtubule-mediated*",tubulin binding,YDR150W,1085324,G,0.15,0.59
,oxidative phosphorylation,molecular function unknown,YJL103C,1086851,G,0.15,0.71
MBR1,aerobic respiration,molecular function unknown,YKL093W,1084573,G,0.15,1.62
EAF3,regulation of transcription from RNA polymerase II promoter*,histone acetyltransferase activity,YPR023C,1085044,G,0.15,0.58
UBC5,endocytosis*,ubiquitin conjugating enzyme activity,YDR059C,1085399,G,0.15,0.38
,biological process unknown,molecular function unknown,YLR152C,1086273,G,0.15,1.32
NCA2,aerobic respiration*,molecular function unknown,YPR155C,1083498,G,0.15,0.37
LSC2,tricarboxylic acid cycle*,succinate-CoA ligase (ADP-forming) activity,YGR244C,1081112,G,0.15,1.26
,biological process unknown,molecular function unknown,YPL109C,1083132,G,0.15,0.59
ATP5,ATP synthesis coupled proton transport,structural molecule activity*,YDR298C,1085077,G,0.15,0.73
,biological process unknown,phospholipase activity,YOR022C,1086868,G,0.15,0.3
ASR1,response to ethanol,molecular function unknown,YPR093C,1085830,G,0.15,0.27
AHA1,response to stress*,chaperone activator activity,YDR214W,1082033,G,0.15,0.17
,biological process unknown,molecular function unknown,YHR033W,1083096,G,0.15,0.3
PSD2,phosphatidylcholine biosynthesis,phosphatidylserine decarboxylase activity,YGR170W,1084600,G,0.15,0.48
FPR3,biological process unknown,peptidyl-prolyl cis-trans isomerase activity,YML074C,1082913,G,0.15,0.53
,biological process unknown,helicase activity,YLR419W,1082523,G,0.15,0.36
APP1,actin filament organization*,molecular function unknown,YNL094W,1084495,G,0.15,0.3
,,,YBR099C,1082605,G,0.15,0.15
UBC6,protein monoubiquitination*,ubiquitin conjugating enzyme activity,YER100W,1082608,G,0.15,0.08
,biological process unknown,molecular function unknown,YPL229W,1082051,G,0.15,0.24
,,,YAR030C,1083287,G,0.15,0.3
FLO10,flocculation (sensu Saccharomyces),mannose binding,YKR102W,1081832,G,0.15,0.04
,,,YBR113W,1082869,G,0.15,0.68
,biological process unknown,molecular function unknown,YGR149W,1084642,G,0.15,0.41
YIP3,ER to Golgi transport,molecular function unknown,YNL044W,1084944,G,0.15,0.7
ISR1,biological process unknown,protein kinase activity,YPR106W,1084051,G,0.15,0.78
BDF2,biological process unknown,molecular function unknown,YDL070W,1086474,G,0.15,0.44
SHR5,Ras protein signal transduction*,protein-cysteine S-palmitoleyltransferase activity,YOL110W,1083106,G,0.15,0.76
XBP1,response to stress,transcription factor activity,YIL101C,1081287,G,0.15,0.77
NBP2,response to heat*,molecular function unknown,YDR162C,1083822,G,0.15,0.44
ORM2,response to unfolded protein,molecular function unknown,YLR350W,1086247,G,0.15,0.53
ATM1,iron ion homeostasis,"ATPase activity, coupled to transmembrane movement of substances",YMR301C,1081640,G,0.15,0.29
CKI1,phosphatidylcholine biosynthesis,choline kinase activity,YLR133W,1086672,G,0.15,0.29
,regulation of protein biosynthesis,translation regulator activity,YOR302W,1084486,G,0.15,0.64
CWC25,"nuclear mRNA splicing, via spliceosome",molecular function unknown,YNL245C,1080993,G,0.15,0.34
VHS3,G1/S transition of mitotic cell cycle*,phosphopantothenoylcysteine decarboxylase activity*,YOR054C,1084698,G,0.15,0.8
RPT3,ubiquitin-dependent protein catabolism,ATPase activity*,YDR394W,1082562,G,0.15,0.32
YSC84,endocytosis*,molecular function unknown,YHR016C,1081256,G,0.15,0.52
PTC5,biological process unknown,protein phosphatase type 2C activity,YOR090C,1084934,G,0.15,0.51
SIC1,G1/S transition of mitotic cell cycle*,protein binding*,YLR079W,1080719,G,0.15,1.02
MDH2,gluconeogenesis*,L-malate dehydrogenase activity,YOL126C,1082223,G,0.15,2.94
ULA1,protein neddylation,NEDD8 activating enzyme activity,YPL003W,1082198,G,0.15,0.56
MLS1,glyoxylate cycle,malate synthase activity,YNL117W,1086587,G,0.15,5.88
RIM4,meiosis*,RNA binding,YHL024W,1084076,G,0.15,1.51
,biological process unknown,molecular function unknown,YEL041W,1083433,G,0.15,1.34
,metabolism,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",YNL274C,1081637,G,0.15,1.49
ASH1,pseudohyphal growth*,specific transcriptional repressor activity,YKL185W,1086460,G,0.15,1.47
EGT2,cytokinesis,cellulase activity,YNL327W,1081393,G,0.15,1.89
AEP3,mRNA metabolism,molecular function unknown,YPL005W,1083312,G,0.15,0.61
SNX41,protein transport,protein transporter activity,YDR425W,1081114,G,0.15,0.62
,biological process unknown,protein kinase activity,YPL141C,1083327,G,0.15,0.47
,biological process unknown,molecular function unknown,YLR201C,1085088,G,0.15,0.49
INP52,cell wall organization and biogenesis*,inositol-polyphosphate 5-phosphatase activity,YNL106C,1085026,G,0.15,0.43
MOB1,protein amino acid phosphorylation*,kinase regulator activity,YIL106W,1084152,G,0.15,0.2
ERG13,ergosterol biosynthesis,hydroxymethylglutaryl-CoA synthase activity,YML126C,1085492,G,0.15,0.36
AIP1,response to osmotic stress*,protein binding,YMR092C,1082911,G,0.15,0.3
SCD5,endocytosis*,protein binding,YOR329C,1082828,G,0.15,0.49
PIN3,actin cytoskeleton organization and biogenesis,molecular function unknown,YPR154W,1086164,G,0.15,0.05
CRH1,biological process unknown,molecular function unknown,YGR189C,1084565,G,0.15,0.77
CAM1,regulation of translational elongation,translation elongation factor activity,YPL048W,1080943,G,0.15,0.3
MCM1,regulation of transcription from RNA polymerase II promoter*,DNA binding*,YMR043W,1083999,G,0.15,0.27
MOT2,regulation of transcription from RNA polymerase II promoter*,3'-5'-exoribonuclease activity*,YER068W,1084068,G,0.15,0.16
NRD1,"transcription termination from Pol II promoter, RNA polymerase(A)-independent",RNA binding,YNL251C,1082567,G,0.15,0.27
SIZ1,protein sumoylation,SUMO ligase activity,YDR409W,1083331,G,0.15,0.9
CMP2,cell ion homeostasis*,calcium-dependent protein serine/threonine phosphatase activity,YML057W,1083928,G,0.15,0.34
CSR1,cell wall organization and biogenesis*,phosphatidylinositol transporter activity,YLR380W,1083058,G,0.15,0.43
DIG1,invasive growth (sensu Saccharomyces),DNA binding*,YPL049C,1084359,G,0.15,0.59
BUD23,bud site selection,S-adenosylmethionine-dependent methyltransferase activity,YCR047C,1081702,G,0.15,0.31
CYC8,chromatin remodeling*,transcription coactivator activity*,YBR112C,1083031,G,0.15,0.35
LAS17,endocytosis*,cytoskeletal protein binding,YOR181W,1086422,G,0.15,0.45
ZDS1,mRNA-nucleus export*,protein binding,YMR273C,1083637,G,0.15,0.35
,,,YML009W-B,1085660,G,0.15,0.42
,biological process unknown,helicase activity,YHL050C,1081717,G,0.15,0.11
DAN4,biological process unknown,molecular function unknown,YJR151C,1080766,G,0.15,0.6
,,,YLR280C,1081082,G,0.15,1.38
GPA2,sporulation (sensu Fungi)*,GTPase activity,YER020W,1081297,G,0.15,1.19
SGF73,histone acetylation,molecular function unknown,YGL066W,1083813,G,0.15,0.57
PKH1,protein amino acid phosphorylation*,protein kinase activity,YDR490C,1085904,G,0.15,0.75
AHC1,histone acetylation,histone acetyltransferase activity,YOR023C,1084882,G,0.15,0.66
RLM1,cell wall organization and biogenesis*,DNA binding*,YPL089C,1082302,G,0.15,1.05
PTR3,sensory perception of chemical stimulus,amino acid binding,YFR029W,1080631,G,0.15,0.77
PGD1,transcription from RNA polymerase II promoter,RNA polymerase II transcription mediator activity,YGL025C,1082806,G,0.15,0.54
,peroxisome organization and biogenesis,lipase activity,YOR084W,1082676,G,0.15,1.74
ABP1,establishment of cell polarity (sensu Fungi)*,protein binding,YCR088W,1083707,G,0.15,0.87
,biological process unknown,molecular function unknown,YER152C,1080883,G,0.15,1.95
SPC25,chromosome segregation*,structural constituent of cytoskeleton,YER018C,1083678,G,0.15,0.56
IMP2',DNA repair*,transcription coactivator activity,YIL154C,1086362,G,0.15,0.18
,biological process unknown,molecular function unknown,YAL053W,1082743,G,0.15,0.58
URA8,phospholipid biosynthesis*,CTP synthase activity,YJR103W,1080969,G,0.15,0.53
GAT1,transcription initiation from RNA polymerase II promoter*,specific RNA polymerase II transcription factor activity*,YFL021W,1082858,G,0.15,0.99
ERG9,ergosterol biosynthesis,farnesyl-diphosphate farnesyltransferase activity,YHR190W,1085706,G,0.15,0.27
CDC4,G1/S transition of mitotic cell cycle*,protein binding*,YFL009W,1080982,G,0.15,0.47
PPZ2,sodium ion homeostasis,protein serine/threonine phosphatase activity,YDR436W,1085497,G,0.15,0.43
,biological process unknown,molecular function unknown,YBR241C,1080979,G,0.15,0.34
,biological process unknown,molecular function unknown,YNL305C,1085158,G,0.15,0.22
,biological process unknown,phosphoprotein phosphatase activity,YCR079W,1080637,G,0.15,-0.11
DAL81,regulation of transcription from RNA polymerase II promoter*,specific RNA polymerase II transcription factor activity,YIR023W,1084567,G,0.15,0.4
,proteolysis and peptidolysis,metalloendopeptidase activity,YIL137C,1084097,G,0.15,0.14
SEL1,protein secretion*,molecular function unknown,YML013W,1081550,G,0.15,0.47
,,,YKL199C,1085647,G,0.15,0.55
PUS2,tRNA modification,tRNA-pseudouridine synthase activity,YGL063W,1084108,G,0.15,0.33
GPB1,signal transduction,signal transducer activity,YOR371C,1081054,G,0.15,0.7
SBP1,RNA metabolism,RNA binding,YHL034C,1084387,G,0.15,0.97
ERG10,ergosterol biosynthesis,acetyl-CoA C-acetyltransferase activity,YPL028W,1085595,G,0.15,0.37
SMP1,positive regulation of transcription from RNA polymerase II promoter*,transcription factor activity*,YBR182C,1086747,G,0.15,1.01
PBP1,mRNA polyadenylylation,molecular function unknown,YGR178C,1081729,G,0.15,0.18
DAK1,response to stress*,glycerone kinase activity,YML070W,1086919,G,0.15,0.09
PIH1,rRNA processing*,molecular function unknown,YHR034C,1083779,G,0.15,0.36
,biological process unknown,molecular function unknown,YLR352W,1082822,G,0.15,0.15
RIM8,meiosis*,molecular function unknown,YGL045W,1082297,G,0.15,0.77
PTK2,G1/S transition of mitotic cell cycle*,protein kinase activity,YJR059W,1082178,G,0.15,0.57
YPS3,protein metabolism,aspartic-type endopeptidase activity,YLR121C,1084700,G,0.15,0.9
STP3,biological process unknown,molecular function unknown,YLR375W,1082565,G,0.15,-0.02
COT1,zinc ion homeostasis*,"di-, tri-valent inorganic cation transporter activity*",YOR316C,1084049,G,0.15,1.83
,,,YGR011W,1085900,G,0.15,0.5
RPN10,ubiquitin-dependent protein catabolism,endopeptidase activity,YHR200W,1084899,G,0.15,0.44
PCM1,N-acetylglucosamine biosynthesis,phosphoacetylglucosamine mutase activity,YEL058W,1082597,G,0.15,0.76
SNF6,chromatin remodeling,general RNA polymerase II transcription factor activity,YHL025W,1081175,G,0.15,0.18
LSB3,actin filament organization,molecular function unknown,YFR024C-A,1080855,G,0.15,0.32
,,,YFR024C,1082999,G,0.15,0.37
NMA2,NAD metabolism,nicotinate-nucleotide adenylyltransferase activity,YGR010W,1080663,G,0.15,0.48
COQ4,ubiquinone metabolism,molecular function unknown,YDR204W,1081220,G,0.15,0.4
,biological process unknown,molecular function unknown,YDL173W,1084921,G,0.15,0.66
SED1,cell wall organization and biogenesis*,structural constituent of cell wall,YDR077W,1086233,G,0.15,2.16
COS1,biological process unknown,molecular function unknown,YNL336W,1086056,G,0.15,0.55
PAU5,biological process unknown,molecular function unknown,YFL020C,1084323,G,0.15,0.32
,biological process unknown,molecular function unknown,YOR394W,1082444,G,0.15,0.84
,biological process unknown,molecular function unknown,YMR325W,1085540,G,0.15,0.91
,biological process unknown,molecular function unknown,YPL282C,1083608,G,0.15,0.85
,biological process unknown,molecular function unknown,YIR041W,1084450,G,0.15,0.81
PAU3,biological process unknown,molecular function unknown,YCR104W,1080869,G,0.15,0.81
,biological process unknown,molecular function unknown,YKL224C,1084769,G,0.15,0.8
,biological process unknown,molecular function unknown,YLL064C,1084406,G,0.15,0.74
DAN3,biological process unknown,molecular function unknown,YBR301W,1086681,G,0.15,0.68
PAU6,biological process unknown,molecular function unknown,YNR076W,1084348,G,0.15,0.75
,biological process unknown,molecular function unknown,YIL176C,1080636,G,0.15,0.75
